Application,Category,CCI,Bytes Uploaded,Bytes Downloaded,Total Bytes,Sanctioned,# Sessions,Tags,# Users,Passport,Passport #,Pasaporte,Pasaporte blg,Philipienes Passport Num
Microsoft Office 365 Outlook.com,Webmail,88,1.16E+13,2.40E+13,3.56E+13,no,25833799,"Unsanctioned,Departmental",31009,,P12345671A,P12345671A,,Numero ng pasaporte
Google Gmail,Webmail,89,31706361894,1.12E+11,1.44E+11,no,522982,"Unsanctioned,Enterprise",12196,,P12345672B,P12345672B,,Pasaporte
Yahoo Mail,Webmail,24,4897446856,8934614108,13832060964,no,98161,"Unsanctioned,Consumer",1640,,P12345672C,P12345672C,,Pasaporte#
Microsoft Live Outlook.com,Webmail,79,696980709,1867198638,2564179347,no,28211,"Unsanctioned,Enterprise",782,,X2222222A,X2222222A,,PasaporteID
Bell Cloud Mail,Webmail,28,154014379,141759680,295774059,no,728,"Unsanctioned,Enterprise",293,,A1234567B,A1234567B,,Pasaporteno
Rediffmail,Webmail,27,146979146,859102245,1006081391,no,4172,"Unsanctioned,Departmental",136,,P12345671A,P12345671A,,Pasaportetnumber
AOL Mail,Webmail,26,28042647,53814783,81857430,no,908,"Unsanctioned,Departmental",46,,P12345672B,P12345672B,,Passeport#
Yahoo Japan Mail,Webmail,8,19498960,21417640,40916600,no,729,"Unsanctioned,Consumer",162,,P12345672C,P12345672C,,Passeportn °
WiseStamp,Webmail,22,12550125,17633894,30184019,no,1784,"Unsanctioned,Consumer",434,,X2222222A,X2222222A,,PasseportNon
Email on Acid,Webmail,28,12492323,95684226,108176549,no,306,"Unsanctioned,Departmental",42,,A1234567B,A1234567B,,Passport
SparkPost,Webmail,40,7465177,9073411,16538588,no,3407,"Unsanctioned,Departmental",329,,P12345671A,P12345671A,,Passport#
Mad Mimi,Webmail,47,2376686,225062938,227439624,no,930,"Unsanctioned,Departmental",356,,P12345672B,P12345672B,,PassportID
Sendinc,Webmail,26,1744452,3747769,5492221,no,202,"Unsanctioned,Departmental",8,,P12345672C,P12345672C,,Passportno
Mailjet,Webmail,38,1266298,6094066,7360364,no,420,"Unsanctioned,Enterprise",196,,X2222222A,X2222222A,,Passportnumber
Zoho Mail,Webmail,84,1238778,1768867,3007645,no,36,"Unsanctioned,Departmental",8,,A1234567B,A1234567B,,Pilipinas
Superhuman,Webmail,15,1235882,12382929,13618811,no,280,"Unsanctioned,Enterprise",59,,P12345671A,P12345671A,,Pasaporte big
Polymail,Webmail,8,629234,2231875,2861109,no,420,"Unsanctioned,Departmental",98,,P12345672B,P12345672B,,
ActiveInbox,Webmail,17,621788,249338,871126,no,101,"Unsanctioned,Enterprise",9,,P12345672C,P12345672C,,
Mixmax,Webmail,24,439383,1104010,1543393,no,291,"Unsanctioned,Enterprise",93,,X2222222A,X2222222A,,
Right Inbox,Webmail,4,287391,6304251,6591642,no,65,"Unsanctioned,Consumer",46,,A1234567B,A1234567B,,
MailGun,Webmail,31,276621,12297051,12573672,no,12,"Unsanctioned,Departmental",5,,P12345671A,P12345671A,,
